Index of Commit,SubIndex of Commit,Size,Path
250,6,2004,DESCRIPTION
250,7,42,LICENSE
250,8,1090,LICENSE.md
250,9,6815,NAMESPACE
250,10,53969,NEWS.md
250,12,7934,README.Rmd
250,13,7979,README.md
250,19,326,plotly.Rproj
251,0,299,.Rbuildignore
251,2,238,.gitignore
251,3,1675,.travis.yml
251,4,1387,CONDUCT.md
251,5,2534,CONTRIBUTING.md
251,6,2004,DESCRIPTION
251,7,42,LICENSE
251,8,1090,LICENSE.md
251,9,6815,NAMESPACE
251,10,53969,NEWS.md
251,12,7934,README.Rmd
251,13,7979,README.md
251,19,326,plotly.Rproj
252,0,299,.Rbuildignore
252,2,238,.gitignore
252,3,1675,.travis.yml
252,4,1387,CONDUCT.md
252,5,2534,CONTRIBUTING.md
252,6,2004,DESCRIPTION
252,7,42,LICENSE
252,8,1090,LICENSE.md
252,9,6815,NAMESPACE
252,10,52566,NEWS.md
252,12,7934,README.Rmd
252,13,7979,README.md
252,19,326,plotly.Rproj
253,0,299,.Rbuildignore
253,2,238,.gitignore
253,3,1675,.travis.yml
253,4,1387,CONDUCT.md
253,5,2534,CONTRIBUTING.md
253,6,2004,DESCRIPTION
253,7,42,LICENSE
253,8,1090,LICENSE.md
253,9,6815,NAMESPACE
253,10,52354,NEWS.md
253,12,7934,README.Rmd
253,13,7979,README.md
253,19,326,plotly.Rproj
254,0,299,.Rbuildignore
254,2,238,.gitignore
254,3,1675,.travis.yml
254,4,1387,CONDUCT.md
254,5,2534,CONTRIBUTING.md
254,6,2004,DESCRIPTION
254,7,42,LICENSE
254,8,1090,LICENSE.md
254,9,6815,NAMESPACE
254,10,52354,NEWS.md
254,12,7934,README.Rmd
254,13,7979,README.md
254,19,326,plotly.Rproj
255,0,299,.Rbuildignore
255,2,238,.gitignore
255,3,1675,.travis.yml
255,4,1387,CONDUCT.md
255,5,2534,CONTRIBUTING.md
255,6,2004,DESCRIPTION
255,7,42,LICENSE
255,8,1090,LICENSE.md
255,9,6815,NAMESPACE
255,10,52229,NEWS.md
255,12,7934,README.Rmd
255,13,7979,README.md
255,19,326,plotly.Rproj
256,0,299,.Rbuildignore
256,2,238,.gitignore
256,3,1675,.travis.yml
256,4,1387,CONDUCT.md
256,5,2534,CONTRIBUTING.md
256,6,2004,DESCRIPTION
256,7,42,LICENSE
256,8,1090,LICENSE.md
256,9,6815,NAMESPACE
256,10,53632,NEWS.md
256,12,7934,README.Rmd
256,13,7979,README.md
256,19,326,plotly.Rproj
257,0,299,.Rbuildignore
257,2,238,.gitignore
257,3,1675,.travis.yml
257,4,1387,CONDUCT.md
257,5,2534,CONTRIBUTING.md
257,6,2004,DESCRIPTION
257,7,42,LICENSE
257,8,1090,LICENSE.md
257,9,6815,NAMESPACE
257,10,53632,NEWS.md
257,12,7934,README.Rmd
257,13,7979,README.md
257,19,326,plotly.Rproj
258,0,299,.Rbuildignore
258,2,238,.gitignore
258,3,1675,.travis.yml
258,4,1387,CONDUCT.md
258,5,2534,CONTRIBUTING.md
258,6,2004,DESCRIPTION
258,7,42,LICENSE
258,8,1090,LICENSE.md
258,9,6815,NAMESPACE
258,10,53632,NEWS.md
258,12,7934,README.Rmd
258,13,7979,README.md
258,19,326,plotly.Rproj
259,0,299,.Rbuildignore
259,2,238,.gitignore
259,3,1675,.travis.yml
259,4,1387,CONDUCT.md
259,5,2534,CONTRIBUTING.md
259,6,2004,DESCRIPTION
259,7,42,LICENSE
259,8,1090,LICENSE.md
259,9,6815,NAMESPACE
259,10,53632,NEWS.md
259,12,7934,README.Rmd
259,13,7979,README.md
259,19,326,plotly.Rproj
260,0,299,.Rbuildignore
260,2,238,.gitignore
260,3,1675,.travis.yml
260,4,1387,CONDUCT.md
260,5,2534,CONTRIBUTING.md
260,6,2004,DESCRIPTION
260,7,42,LICENSE
260,8,1090,LICENSE.md
260,9,6815,NAMESPACE
260,10,53632,NEWS.md
260,12,7934,README.Rmd
260,13,7979,README.md
260,19,326,plotly.Rproj
261,0,299,.Rbuildignore
261,2,238,.gitignore
261,3,1675,.travis.yml
261,4,1387,CONDUCT.md
261,5,2534,CONTRIBUTING.md
261,6,2004,DESCRIPTION
261,7,42,LICENSE
261,8,1090,LICENSE.md
261,9,6815,NAMESPACE
261,10,53788,NEWS.md
261,12,7934,README.Rmd
261,13,7979,README.md
261,19,326,plotly.Rproj
262,0,299,.Rbuildignore
262,2,238,.gitignore
262,3,1675,.travis.yml
262,4,1387,CONDUCT.md
262,5,2534,CONTRIBUTING.md
262,6,2004,DESCRIPTION
262,7,42,LICENSE
262,8,1090,LICENSE.md
262,9,6815,NAMESPACE
262,10,52229,NEWS.md
262,12,7934,README.Rmd
262,13,7979,README.md
262,19,326,plotly.Rproj
263,0,299,.Rbuildignore
263,2,238,.gitignore
263,3,1675,.travis.yml
263,4,1387,CONDUCT.md
263,5,2534,CONTRIBUTING.md
263,6,2004,DESCRIPTION
263,7,42,LICENSE
263,8,1090,LICENSE.md
263,9,6815,NAMESPACE
263,10,52229,NEWS.md
263,12,7934,README.Rmd
263,13,7979,README.md
263,19,326,plotly.Rproj
264,0,299,.Rbuildignore
264,2,238,.gitignore
264,3,1675,.travis.yml
264,4,1387,CONDUCT.md
264,5,2534,CONTRIBUTING.md
264,6,2004,DESCRIPTION
264,7,42,LICENSE
264,8,1090,LICENSE.md
264,9,6815,NAMESPACE
264,10,52229,NEWS.md
264,12,7934,README.Rmd
264,13,7979,README.md
264,19,326,plotly.Rproj
265,0,299,.Rbuildignore
265,2,238,.gitignore
265,3,1675,.travis.yml
265,4,1387,CONDUCT.md
265,5,2534,CONTRIBUTING.md
265,6,2004,DESCRIPTION
265,7,42,LICENSE
265,8,1090,LICENSE.md
265,9,6815,NAMESPACE
265,10,53788,NEWS.md
265,12,7934,README.Rmd
265,13,7979,README.md
265,19,326,plotly.Rproj
266,0,299,.Rbuildignore
266,2,238,.gitignore
266,3,1675,.travis.yml
266,4,1387,CONDUCT.md
266,5,2534,CONTRIBUTING.md
266,6,2004,DESCRIPTION
266,7,42,LICENSE
266,8,1090,LICENSE.md
266,9,6815,NAMESPACE
266,10,52229,NEWS.md
266,12,7934,README.Rmd
266,13,7979,README.md
266,19,326,plotly.Rproj
267,0,299,.Rbuildignore
267,2,238,.gitignore
267,3,1675,.travis.yml
267,4,1387,CONDUCT.md
267,5,2534,CONTRIBUTING.md
267,6,2004,DESCRIPTION
267,7,42,LICENSE
267,8,1090,LICENSE.md
267,9,6815,NAMESPACE
267,10,52229,NEWS.md
267,12,7934,README.Rmd
267,13,7979,README.md
267,19,326,plotly.Rproj
268,0,299,.Rbuildignore
268,2,238,.gitignore
268,3,1675,.travis.yml
268,4,1387,CONDUCT.md
268,5,2534,CONTRIBUTING.md
268,6,2004,DESCRIPTION
268,7,42,LICENSE
268,8,1090,LICENSE.md
268,9,6815,NAMESPACE
268,10,53633,NEWS.md
268,12,7934,README.Rmd
268,13,7979,README.md
268,19,326,plotly.Rproj
269,0,299,.Rbuildignore
269,2,238,.gitignore
269,3,1675,.travis.yml
269,4,1387,CONDUCT.md
269,5,2534,CONTRIBUTING.md
269,6,2004,DESCRIPTION
269,7,42,LICENSE
269,8,1090,LICENSE.md
269,9,6815,NAMESPACE
269,10,53633,NEWS.md
269,12,7934,README.Rmd
269,13,7979,README.md
269,19,326,plotly.Rproj
270,0,299,.Rbuildignore
270,2,238,.gitignore
270,3,1675,.travis.yml
270,4,1387,CONDUCT.md
270,5,2534,CONTRIBUTING.md
270,6,2004,DESCRIPTION
270,7,42,LICENSE
270,8,1090,LICENSE.md
270,9,6815,NAMESPACE
270,10,53466,NEWS.md
270,12,7934,README.Rmd
270,13,7979,README.md
270,19,326,plotly.Rproj
271,0,299,.Rbuildignore
271,2,238,.gitignore
271,3,1675,.travis.yml
271,4,1387,CONDUCT.md
271,5,2534,CONTRIBUTING.md
271,6,2004,DESCRIPTION
271,7,42,LICENSE
271,8,1090,LICENSE.md
271,9,6815,NAMESPACE
271,10,52229,NEWS.md
271,12,7934,README.Rmd
271,13,7979,README.md
271,19,326,plotly.Rproj
272,0,299,.Rbuildignore
272,2,238,.gitignore
272,3,1675,.travis.yml
272,4,1387,CONDUCT.md
272,5,2534,CONTRIBUTING.md
272,6,2004,DESCRIPTION
272,7,42,LICENSE
272,8,1090,LICENSE.md
272,9,6815,NAMESPACE
272,10,53466,NEWS.md
272,12,7934,README.Rmd
272,13,7979,README.md
272,19,326,plotly.Rproj
273,0,299,.Rbuildignore
273,2,238,.gitignore
273,3,1675,.travis.yml
273,4,1387,CONDUCT.md
273,5,2534,CONTRIBUTING.md
273,6,2004,DESCRIPTION
273,7,42,LICENSE
273,8,1090,LICENSE.md
273,9,6815,NAMESPACE
273,10,53466,NEWS.md
273,12,7934,README.Rmd
273,13,7979,README.md
273,19,326,plotly.Rproj
274,0,299,.Rbuildignore
274,2,238,.gitignore
274,3,1675,.travis.yml
274,4,1387,CONDUCT.md
274,5,2534,CONTRIBUTING.md
274,6,2004,DESCRIPTION
274,7,42,LICENSE
274,8,1090,LICENSE.md
274,9,6815,NAMESPACE
274,10,53466,NEWS.md
274,12,7934,README.Rmd
274,13,7979,README.md
274,19,326,plotly.Rproj
275,0,299,.Rbuildignore
275,2,238,.gitignore
275,3,1675,.travis.yml
275,4,1387,CONDUCT.md
275,5,2534,CONTRIBUTING.md
275,6,2004,DESCRIPTION
275,7,42,LICENSE
275,8,1090,LICENSE.md
275,9,6815,NAMESPACE
275,10,53466,NEWS.md
275,12,7934,README.Rmd
275,13,7979,README.md
275,19,326,plotly.Rproj
276,0,299,.Rbuildignore
276,2,238,.gitignore
276,3,1675,.travis.yml
276,4,1387,CONDUCT.md
276,5,2534,CONTRIBUTING.md
276,6,2004,DESCRIPTION
276,7,42,LICENSE
276,8,1090,LICENSE.md
276,9,6815,NAMESPACE
276,10,53466,NEWS.md
276,12,7934,README.Rmd
276,13,7979,README.md
276,19,326,plotly.Rproj
277,0,299,.Rbuildignore
277,2,238,.gitignore
277,3,1675,.travis.yml
277,4,1387,CONDUCT.md
277,5,2534,CONTRIBUTING.md
277,6,2004,DESCRIPTION
277,7,42,LICENSE
277,8,1090,LICENSE.md
277,9,6815,NAMESPACE
277,10,52229,NEWS.md
277,12,7934,README.Rmd
277,13,7979,README.md
277,19,326,plotly.Rproj
278,0,299,.Rbuildignore
278,2,238,.gitignore
278,3,1675,.travis.yml
278,4,1387,CONDUCT.md
278,5,2534,CONTRIBUTING.md
278,6,2004,DESCRIPTION
278,7,42,LICENSE
278,8,1090,LICENSE.md
278,9,6815,NAMESPACE
278,10,53466,NEWS.md
278,12,7934,README.Rmd
278,13,7979,README.md
278,19,326,plotly.Rproj
279,0,299,.Rbuildignore
279,2,238,.gitignore
279,3,1675,.travis.yml
279,4,1387,CONDUCT.md
279,5,2534,CONTRIBUTING.md
279,6,2004,DESCRIPTION
279,7,42,LICENSE
279,8,1090,LICENSE.md
279,9,6815,NAMESPACE
279,10,52229,NEWS.md
279,12,7934,README.Rmd
279,13,7979,README.md
279,19,326,plotly.Rproj
280,0,299,.Rbuildignore
280,2,238,.gitignore
280,3,1675,.travis.yml
280,4,1387,CONDUCT.md
280,5,2534,CONTRIBUTING.md
280,6,2004,DESCRIPTION
280,7,42,LICENSE
280,8,1090,LICENSE.md
280,9,6815,NAMESPACE
280,10,53466,NEWS.md
280,12,7934,README.Rmd
280,13,7979,README.md
280,19,326,plotly.Rproj
281,0,299,.Rbuildignore
281,2,238,.gitignore
281,3,1675,.travis.yml
281,4,1387,CONDUCT.md
281,5,2534,CONTRIBUTING.md
281,6,2004,DESCRIPTION
281,7,42,LICENSE
281,8,1090,LICENSE.md
281,9,6815,NAMESPACE
281,10,53466,NEWS.md
281,12,7934,README.Rmd
281,13,7979,README.md
281,19,326,plotly.Rproj
282,0,299,.Rbuildignore
282,2,238,.gitignore
282,3,1675,.travis.yml
282,4,1387,CONDUCT.md
282,5,2534,CONTRIBUTING.md
282,6,2004,DESCRIPTION
282,7,42,LICENSE
282,8,1090,LICENSE.md
282,9,6787,NAMESPACE
282,10,52851,NEWS.md
282,12,7934,README.Rmd
282,13,7979,README.md
282,19,326,plotly.Rproj
283,0,299,.Rbuildignore
283,2,238,.gitignore
283,3,1675,.travis.yml
283,4,1387,CONDUCT.md
283,5,2534,CONTRIBUTING.md
283,6,2004,DESCRIPTION
283,7,42,LICENSE
283,8,1090,LICENSE.md
283,9,6787,NAMESPACE
283,10,52851,NEWS.md
283,12,7934,README.Rmd
283,13,7979,README.md
283,19,326,plotly.Rproj
284,0,299,.Rbuildignore
284,2,238,.gitignore
284,3,1675,.travis.yml
284,4,1387,CONDUCT.md
284,5,2534,CONTRIBUTING.md
284,6,2004,DESCRIPTION
284,7,42,LICENSE
284,8,1090,LICENSE.md
284,9,6787,NAMESPACE
284,10,52851,NEWS.md
284,12,7934,README.Rmd
284,13,7979,README.md
284,19,326,plotly.Rproj
285,0,299,.Rbuildignore
285,2,238,.gitignore
285,3,1675,.travis.yml
285,4,1387,CONDUCT.md
285,5,2534,CONTRIBUTING.md
285,6,2004,DESCRIPTION
285,7,42,LICENSE
285,8,1090,LICENSE.md
285,9,6787,NAMESPACE
285,10,52851,NEWS.md
285,12,7934,README.Rmd
285,13,7979,README.md
285,19,326,plotly.Rproj
286,0,299,.Rbuildignore
286,2,238,.gitignore
286,3,1675,.travis.yml
286,4,1387,CONDUCT.md
286,5,2534,CONTRIBUTING.md
286,6,2004,DESCRIPTION
286,7,42,LICENSE
286,8,1090,LICENSE.md
286,9,6787,NAMESPACE
286,10,51987,NEWS.md
286,12,7934,README.Rmd
286,13,7979,README.md
286,19,326,plotly.Rproj
287,0,299,.Rbuildignore
287,2,238,.gitignore
287,3,1675,.travis.yml
287,4,1387,CONDUCT.md
287,5,2534,CONTRIBUTING.md
287,6,2004,DESCRIPTION
287,7,42,LICENSE
287,8,1090,LICENSE.md
287,9,6787,NAMESPACE
287,10,51987,NEWS.md
287,12,7934,README.Rmd
287,13,7979,README.md
287,19,326,plotly.Rproj
288,0,299,.Rbuildignore
288,2,238,.gitignore
288,3,1675,.travis.yml
288,4,1387,CONDUCT.md
288,5,2534,CONTRIBUTING.md
288,6,2004,DESCRIPTION
288,7,42,LICENSE
288,8,1090,LICENSE.md
288,9,6787,NAMESPACE
288,10,51908,NEWS.md
288,12,7934,README.Rmd
288,13,7979,README.md
288,19,326,plotly.Rproj
289,0,299,.Rbuildignore
289,2,238,.gitignore
289,3,1675,.travis.yml
289,4,1387,CONDUCT.md
289,5,2534,CONTRIBUTING.md
289,6,2004,DESCRIPTION
289,7,42,LICENSE
289,8,1090,LICENSE.md
289,9,6787,NAMESPACE
289,10,51908,NEWS.md
289,12,7934,README.Rmd
289,13,7979,README.md
289,19,326,plotly.Rproj
290,0,299,.Rbuildignore
290,2,238,.gitignore
290,3,1675,.travis.yml
290,4,1387,CONDUCT.md
290,5,2534,CONTRIBUTING.md
290,6,2004,DESCRIPTION
290,7,42,LICENSE
290,8,1090,LICENSE.md
290,9,6815,NAMESPACE
290,10,52229,NEWS.md
290,12,7934,README.Rmd
290,13,7979,README.md
290,19,326,plotly.Rproj
291,0,299,.Rbuildignore
291,2,238,.gitignore
291,3,1675,.travis.yml
291,4,1387,CONDUCT.md
291,5,2534,CONTRIBUTING.md
291,6,2004,DESCRIPTION
291,7,42,LICENSE
291,8,1090,LICENSE.md
291,9,6815,NAMESPACE
291,10,52229,NEWS.md
291,12,7934,README.Rmd
291,13,7979,README.md
291,19,326,plotly.Rproj
292,0,299,.Rbuildignore
292,2,238,.gitignore
292,3,1675,.travis.yml
292,4,1387,CONDUCT.md
292,5,2534,CONTRIBUTING.md
292,6,2004,DESCRIPTION
292,7,42,LICENSE
292,8,1090,LICENSE.md
292,9,6815,NAMESPACE
292,10,52229,NEWS.md
292,12,7934,README.Rmd
292,13,7979,README.md
292,19,326,plotly.Rproj
293,0,299,.Rbuildignore
293,2,238,.gitignore
293,3,1675,.travis.yml
293,4,1387,CONDUCT.md
293,5,2534,CONTRIBUTING.md
293,6,2004,DESCRIPTION
293,7,42,LICENSE
293,8,1090,LICENSE.md
293,9,6815,NAMESPACE
293,10,52229,NEWS.md
293,12,7934,README.Rmd
293,13,7979,README.md
293,19,326,plotly.Rproj
294,0,299,.Rbuildignore
294,2,238,.gitignore
294,3,1675,.travis.yml
294,4,1387,CONDUCT.md
294,5,2534,CONTRIBUTING.md
294,6,2004,DESCRIPTION
294,7,42,LICENSE
294,8,1090,LICENSE.md
294,9,6815,NAMESPACE
294,10,52229,NEWS.md
294,12,7934,README.Rmd
294,13,7979,README.md
294,19,326,plotly.Rproj
295,0,299,.Rbuildignore
295,2,238,.gitignore
295,3,1675,.travis.yml
295,4,1387,CONDUCT.md
295,5,2534,CONTRIBUTING.md
295,6,2004,DESCRIPTION
295,7,42,LICENSE
295,8,1090,LICENSE.md
295,9,6787,NAMESPACE
295,10,51908,NEWS.md
295,12,7934,README.Rmd
295,13,7979,README.md
295,19,326,plotly.Rproj
296,0,299,.Rbuildignore
296,2,238,.gitignore
296,3,1675,.travis.yml
296,4,1387,CONDUCT.md
296,5,2534,CONTRIBUTING.md
296,6,2004,DESCRIPTION
296,7,42,LICENSE
296,8,1090,LICENSE.md
296,9,6815,NAMESPACE
296,10,52229,NEWS.md
296,12,7934,README.Rmd
296,13,7979,README.md
296,19,326,plotly.Rproj
297,0,299,.Rbuildignore
297,2,238,.gitignore
297,3,1675,.travis.yml
297,4,1387,CONDUCT.md
297,5,2534,CONTRIBUTING.md
297,6,2004,DESCRIPTION
297,7,42,LICENSE
297,8,1090,LICENSE.md
297,9,6815,NAMESPACE
297,10,52229,NEWS.md
297,12,7934,README.Rmd
297,13,7979,README.md
297,19,326,plotly.Rproj
298,0,299,.Rbuildignore
298,2,238,.gitignore
298,3,1675,.travis.yml
298,4,1387,CONDUCT.md
298,5,2534,CONTRIBUTING.md
298,6,2004,DESCRIPTION
298,7,42,LICENSE
298,8,1090,LICENSE.md
298,9,6815,NAMESPACE
298,10,52229,NEWS.md
298,12,7934,README.Rmd
298,13,7979,README.md
298,19,326,plotly.Rproj
299,0,299,.Rbuildignore
299,2,238,.gitignore
299,3,1675,.travis.yml
299,4,1387,CONDUCT.md
299,5,2534,CONTRIBUTING.md
299,6,2004,DESCRIPTION
299,7,42,LICENSE
299,8,1090,LICENSE.md
299,9,6815,NAMESPACE
299,10,52229,NEWS.md
299,12,7934,README.Rmd
299,13,7979,README.md
299,19,326,plotly.Rproj
300,0,299,.Rbuildignore
300,2,238,.gitignore
300,3,1675,.travis.yml
300,4,1387,CONDUCT.md
300,5,2534,CONTRIBUTING.md
300,6,2004,DESCRIPTION
300,7,42,LICENSE
300,8,1090,LICENSE.md
300,9,6815,NAMESPACE
300,10,52229,NEWS.md
300,12,7934,README.Rmd
300,13,7979,README.md
300,19,326,plotly.Rproj
301,0,299,.Rbuildignore
301,2,238,.gitignore
301,3,1675,.travis.yml
301,4,1387,CONDUCT.md
301,5,2534,CONTRIBUTING.md
301,6,2004,DESCRIPTION
301,7,42,LICENSE
301,8,1090,LICENSE.md
301,9,6815,NAMESPACE
301,10,52229,NEWS.md
301,12,7934,README.Rmd
301,13,7979,README.md
301,19,326,plotly.Rproj
302,0,299,.Rbuildignore
302,2,238,.gitignore
302,3,1675,.travis.yml
302,4,1387,CONDUCT.md
302,5,2534,CONTRIBUTING.md
302,6,2004,DESCRIPTION
302,7,42,LICENSE
302,8,1090,LICENSE.md
302,9,6815,NAMESPACE
302,10,52229,NEWS.md
302,12,7934,README.Rmd
302,13,7979,README.md
302,19,326,plotly.Rproj
303,0,299,.Rbuildignore
303,2,238,.gitignore
303,3,1675,.travis.yml
303,4,1387,CONDUCT.md
303,5,2534,CONTRIBUTING.md
303,6,2004,DESCRIPTION
303,7,42,LICENSE
303,8,1090,LICENSE.md
303,9,6815,NAMESPACE
303,10,52229,NEWS.md
303,12,7934,README.Rmd
303,13,7979,README.md
303,19,326,plotly.Rproj
304,0,299,.Rbuildignore
304,2,238,.gitignore
304,3,1675,.travis.yml
304,4,1387,CONDUCT.md
304,5,2534,CONTRIBUTING.md
304,6,2004,DESCRIPTION
304,7,42,LICENSE
304,8,1090,LICENSE.md
304,9,6815,NAMESPACE
304,10,52229,NEWS.md
304,12,7934,README.Rmd
304,13,7979,README.md
304,19,326,plotly.Rproj
305,0,299,.Rbuildignore
305,2,238,.gitignore
305,3,1675,.travis.yml
305,4,1387,CONDUCT.md
305,5,2534,CONTRIBUTING.md
305,6,2004,DESCRIPTION
305,7,42,LICENSE
305,8,1090,LICENSE.md
305,9,6815,NAMESPACE
305,10,52229,NEWS.md
305,12,7934,README.Rmd
305,13,7979,README.md
305,19,326,plotly.Rproj
306,0,299,.Rbuildignore
306,2,238,.gitignore
306,3,1675,.travis.yml
306,4,1387,CONDUCT.md
306,5,2534,CONTRIBUTING.md
306,6,2004,DESCRIPTION
306,7,42,LICENSE
306,8,1090,LICENSE.md
306,9,6815,NAMESPACE
306,10,52229,NEWS.md
306,12,7934,README.Rmd
306,13,7979,README.md
306,19,326,plotly.Rproj
307,0,299,.Rbuildignore
307,2,238,.gitignore
307,3,1675,.travis.yml
307,4,1387,CONDUCT.md
307,5,2534,CONTRIBUTING.md
307,6,2004,DESCRIPTION
307,7,42,LICENSE
307,8,1090,LICENSE.md
307,9,6815,NAMESPACE
307,10,52229,NEWS.md
307,12,7934,README.Rmd
307,13,7979,README.md
307,19,326,plotly.Rproj
308,0,299,.Rbuildignore
308,2,238,.gitignore
308,3,1675,.travis.yml
308,4,1387,CONDUCT.md
308,5,2534,CONTRIBUTING.md
308,6,2004,DESCRIPTION
308,7,42,LICENSE
308,8,1090,LICENSE.md
308,9,6815,NAMESPACE
308,10,52229,NEWS.md
308,12,7934,README.Rmd
308,13,7979,README.md
308,19,326,plotly.Rproj
309,0,299,.Rbuildignore
309,2,238,.gitignore
309,3,1675,.travis.yml
309,4,1387,CONDUCT.md
309,5,2534,CONTRIBUTING.md
309,6,2004,DESCRIPTION
309,7,42,LICENSE
309,8,1090,LICENSE.md
309,9,6815,NAMESPACE
309,10,52229,NEWS.md
309,12,7934,README.Rmd
309,13,7979,README.md
309,19,326,plotly.Rproj
310,0,299,.Rbuildignore
310,2,238,.gitignore
310,3,1675,.travis.yml
310,4,1387,CONDUCT.md
310,5,2534,CONTRIBUTING.md
310,6,2004,DESCRIPTION
310,7,42,LICENSE
310,8,1090,LICENSE.md
310,9,6815,NAMESPACE
310,10,52128,NEWS.md
310,12,7934,README.Rmd
310,13,7979,README.md
310,19,326,plotly.Rproj
311,0,299,.Rbuildignore
311,2,238,.gitignore
311,3,1675,.travis.yml
311,4,1387,CONDUCT.md
311,5,2534,CONTRIBUTING.md
311,6,2004,DESCRIPTION
311,7,42,LICENSE
311,8,1090,LICENSE.md
311,9,6815,NAMESPACE
311,10,52128,NEWS.md
311,12,7934,README.Rmd
311,13,7979,README.md
311,19,326,plotly.Rproj
312,0,299,.Rbuildignore
312,2,238,.gitignore
312,3,1675,.travis.yml
312,4,1387,CONDUCT.md
312,5,2534,CONTRIBUTING.md
312,6,2004,DESCRIPTION
312,7,42,LICENSE
312,8,1090,LICENSE.md
312,9,6815,NAMESPACE
312,10,52128,NEWS.md
312,12,7934,README.Rmd
312,13,7979,README.md
312,19,326,plotly.Rproj
313,0,299,.Rbuildignore
313,2,238,.gitignore
313,3,1675,.travis.yml
313,4,1387,CONDUCT.md
313,5,2534,CONTRIBUTING.md
313,6,2004,DESCRIPTION
313,7,42,LICENSE
313,8,1090,LICENSE.md
313,9,6815,NAMESPACE
313,10,52128,NEWS.md
313,12,7934,README.Rmd
313,13,7979,README.md
313,19,326,plotly.Rproj
314,0,299,.Rbuildignore
314,2,238,.gitignore
314,3,1675,.travis.yml
314,4,1387,CONDUCT.md
314,5,2534,CONTRIBUTING.md
314,6,2004,DESCRIPTION
314,7,42,LICENSE
314,8,1090,LICENSE.md
314,9,6815,NAMESPACE
314,10,52128,NEWS.md
314,12,7934,README.Rmd
314,13,7979,README.md
314,19,326,plotly.Rproj
315,0,299,.Rbuildignore
315,2,238,.gitignore
315,3,1675,.travis.yml
315,4,1387,CONDUCT.md
315,5,2534,CONTRIBUTING.md
315,6,2004,DESCRIPTION
315,7,42,LICENSE
315,8,1090,LICENSE.md
315,9,6815,NAMESPACE
315,10,52128,NEWS.md
315,12,7934,README.Rmd
315,13,7979,README.md
315,19,326,plotly.Rproj
316,0,299,.Rbuildignore
316,2,238,.gitignore
316,3,1675,.travis.yml
316,4,1387,CONDUCT.md
316,5,2534,CONTRIBUTING.md
316,6,2004,DESCRIPTION
316,7,42,LICENSE
316,8,1090,LICENSE.md
316,9,6815,NAMESPACE
316,10,52128,NEWS.md
316,12,7934,README.Rmd
316,13,7979,README.md
316,19,326,plotly.Rproj
317,0,299,.Rbuildignore
317,2,238,.gitignore
317,3,1675,.travis.yml
317,4,1387,CONDUCT.md
317,5,2534,CONTRIBUTING.md
317,6,2004,DESCRIPTION
317,7,42,LICENSE
317,8,1090,LICENSE.md
317,9,6815,NAMESPACE
317,10,52128,NEWS.md
317,12,7934,README.Rmd
317,13,7979,README.md
317,19,326,plotly.Rproj
318,0,299,.Rbuildignore
318,2,238,.gitignore
318,3,1675,.travis.yml
318,4,1387,CONDUCT.md
318,5,2534,CONTRIBUTING.md
318,6,2004,DESCRIPTION
318,7,42,LICENSE
318,8,1090,LICENSE.md
318,9,6815,NAMESPACE
318,10,52128,NEWS.md
318,12,7934,README.Rmd
318,13,7979,README.md
318,19,326,plotly.Rproj
319,0,299,.Rbuildignore
319,2,238,.gitignore
319,3,1675,.travis.yml
319,4,1387,CONDUCT.md
319,5,2534,CONTRIBUTING.md
319,6,2004,DESCRIPTION
319,7,42,LICENSE
319,8,1090,LICENSE.md
319,9,6815,NAMESPACE
319,10,52128,NEWS.md
319,12,7934,README.Rmd
319,13,7979,README.md
319,19,326,plotly.Rproj
320,0,299,.Rbuildignore
320,2,238,.gitignore
320,3,1675,.travis.yml
320,4,1387,CONDUCT.md
320,5,2534,CONTRIBUTING.md
320,6,2004,DESCRIPTION
320,7,42,LICENSE
320,8,1090,LICENSE.md
320,9,6815,NAMESPACE
320,10,51615,NEWS.md
320,12,7934,README.Rmd
320,13,7979,README.md
320,19,326,plotly.Rproj
321,0,299,.Rbuildignore
321,2,238,.gitignore
321,3,1675,.travis.yml
321,4,1387,CONDUCT.md
321,5,2534,CONTRIBUTING.md
321,6,2004,DESCRIPTION
321,7,42,LICENSE
321,8,1090,LICENSE.md
321,9,6815,NAMESPACE
321,10,51615,NEWS.md
321,12,7934,README.Rmd
321,13,7979,README.md
321,19,326,plotly.Rproj
322,0,299,.Rbuildignore
322,2,238,.gitignore
322,3,1675,.travis.yml
322,4,1387,CONDUCT.md
322,5,2534,CONTRIBUTING.md
322,6,2004,DESCRIPTION
322,7,42,LICENSE
322,8,1090,LICENSE.md
322,9,6815,NAMESPACE
322,10,51615,NEWS.md
322,12,7934,README.Rmd
322,13,7979,README.md
322,19,326,plotly.Rproj
323,0,299,.Rbuildignore
323,2,238,.gitignore
323,3,1675,.travis.yml
323,4,1387,CONDUCT.md
323,5,2534,CONTRIBUTING.md
323,6,2004,DESCRIPTION
323,7,42,LICENSE
323,8,1090,LICENSE.md
323,9,6815,NAMESPACE
323,10,51615,NEWS.md
323,12,7934,README.Rmd
323,13,7979,README.md
323,19,326,plotly.Rproj
324,0,299,.Rbuildignore
324,2,238,.gitignore
324,3,1675,.travis.yml
324,4,1387,CONDUCT.md
324,5,2534,CONTRIBUTING.md
324,6,2004,DESCRIPTION
324,7,42,LICENSE
324,8,1090,LICENSE.md
324,9,6815,NAMESPACE
